,Open,High,Low,Close,Volume
2023-01-31 19:55:00,171.93,171.95,171.71,171.821,45095.0
2023-01-31 19:50:00,172.03,172.05,171.91,171.94,34771.0
2023-01-31 19:45:00,172.03,172.1,172.02,172.07,8371.0
2023-01-31 19:40:00,172.02,172.1,172.01,172.08,8232.0
2023-01-31 19:35:00,172.1,172.1,172.02,172.05,8427.0
2023-01-31 19:30:00,172.05,172.13,172.05,172.1,12775.0
2023-01-31 19:25:00,172.1,172.13,172.01,172.07,23649.0
2023-01-31 19:20:00,172.07,172.13,172.05,172.1,11188.0
2023-01-31 19:15:00,172.05,172.12,172.05,172.07,9086.0
2023-01-31 19:10:00,172.05,172.11,172.0,172.07,13045.0
2023-01-31 19:05:00,172.23,172.23,172.0,172.05,16497.0
2023-01-31 19:00:00,172.21,172.27,172.19,172.27,9612.0
2023-01-31 18:55:00,172.19,172.31,172.17,172.27,4083.0
2023-01-31 18:50:00,172.18,172.35,172.17,172.28,9930.0
2023-01-31 18:45:00,172.36,172.36,172.07,172.11,24524.0
2023-01-31 18:40:00,172.42,172.42,172.35,172.37,7625.0
2023-01-31 18:35:00,172.49,172.5,172.42,172.42,6153.0
2023-01-31 18:30:00,172.49,172.49,172.43,172.44,11178.0
2023-01-31 18:25:00,172.46,172.5,172.45,172.49,5160.0
2023-01-31 18:20:00,172.48,172.51,172.45,172.46,8186.0
2023-01-31 18:15:00,172.5,172.51,172.41,172.47,4253.0
2023-01-31 18:10:00,172.5,172.56,172.5,172.5,4061.0
2023-01-31 18:05:00,172.4,172.5,172.4,172.5,5935.0
2023-01-31 18:00:00,172.42,172.49,172.4,172.45,4597.0
2023-01-31 17:55:00,172.4,172.45,172.38,172.41,10379.0
2023-01-31 17:50:00,172.5,172.5,172.312,172.312,7752.0
2023-01-31 17:45:00,172.43,172.5,172.4,172.5,10776.0
2023-01-31 17:40:00,172.52,172.58,172.38,172.47,7872.0
2023-01-31 17:35:00,172.55,172.55,172.38,172.48,19406.0
2023-01-31 17:30:00,172.74,172.75,172.51,172.51,12964.0
2023-01-31 17:25:00,172.49,172.8,172.49,172.8,18189.0
2023-01-31 17:20:00,172.56,172.83,172.47,172.47,30884.0
2023-01-31 17:15:00,172.48,172.6,172.47,172.57,7289.0
2023-01-31 17:10:00,172.48,172.55,172.45,172.47,11012.0
2023-01-31 17:05:00,172.52,172.52,172.43,172.43,7750.0
2023-01-31 17:00:00,172.33,172.54,172.3,172.54,20871.0
2023-01-31 16:55:00,172.34,172.37,172.3,172.31,16993.0
2023-01-31 16:50:00,172.53,172.53,172.33,172.378,26331.0
2023-01-31 16:45:00,172.61,172.62,172.52,172.52,10429.0
2023-01-31 16:40:00,172.55,172.66,172.53,172.61,18340.0
2023-01-31 16:35:00,172.59,172.7,172.5,172.639,22075.0
2023-01-31 16:30:00,172.8,172.85,172.5,172.618,34275.0
2023-01-31 16:25:00,172.85,173.22,172.8,172.8,44008.0
2023-01-31 16:20:00,172.8,173.0,172.8,172.88,46774.0
2023-01-31 16:15:00,172.5,172.83,172.5,172.8,45747.0
2023-01-31 16:10:00,172.73,173.22,172.28,172.52,87391.0
2023-01-31 16:05:00,172.96,173.22,172.6,172.73,191273.0
2023-01-31 16:00:00,173.22,173.32,172.81,173.0,3552125.0
2023-01-31 15:55:00,173.33,173.33,172.43,173.29,3109774.0
2023-01-31 15:50:00,172.62,173.6,172.616,173.337,2880742.0
2023-01-31 15:45:00,172.07,172.65,171.83,172.638,2017298.0
2023-01-31 15:40:00,172.659,172.8,171.5,172.089,2008917.0
2023-01-31 15:35:00,172.54,172.92,172.4,172.651,1474469.0
2023-01-31 15:30:00,172.44,172.73,172.3,172.53,1251010.0
2023-01-31 15:25:00,172.53,172.75,172.08,172.437,1643068.0
2023-01-31 15:20:00,172.507,172.81,172.46,172.53,1550493.0
2023-01-31 15:15:00,172.61,172.759,171.95,172.52,1946317.0
2023-01-31 15:10:00,173.11,173.34,172.25,172.59,2323362.0
2023-01-31 15:05:00,173.793,173.93,173.1,173.12,1832299.0
2023-01-31 15:00:00,173.23,174.3,173.19,173.8,2837357.0
2023-01-31 14:55:00,172.885,173.23,172.74,173.21,1359350.0
2023-01-31 14:50:00,172.901,173.17,172.81,172.873,1374179.0
2023-01-31 14:45:00,172.77,173.0,172.64,172.88,1513030.0
2023-01-31 14:40:00,172.467,172.8,172.37,172.765,1095040.0
2023-01-31 14:35:00,172.49,172.64,172.15,172.462,1062809.0
2023-01-31 14:30:00,172.55,172.77,172.34,172.47,1309843.0
2023-01-31 14:25:00,172.041,172.73,171.819,172.53,1518378.0
2023-01-31 14:20:00,171.62,172.153,171.58,172.048,1055828.0
2023-01-31 14:15:00,171.7,171.95,171.52,171.63,1135626.0
2023-01-31 14:10:00,171.94,172.05,171.54,171.712,923933.0
2023-01-31 14:05:00,171.88,172.25,171.84,171.942,1138447.0
2023-01-31 14:00:00,172.18,172.278,171.71,171.85,1292421.0
2023-01-31 13:55:00,171.81,172.29,171.8,172.187,1180367.0
2023-01-31 13:50:00,171.85,172.07,171.67,171.81,1220452.0
2023-01-31 13:45:00,171.25,171.93,171.15,171.84,1455244.0
2023-01-31 13:40:00,171.086,171.42,170.87,171.248,1315462.0
2023-01-31 13:35:00,171.47,171.5,170.71,171.1,1597929.0
2023-01-31 13:30:00,171.975,172.02,171.21,171.5,1441799.0
2023-01-31 13:25:00,171.843,172.35,171.73,171.98,1147319.0
2023-01-31 13:20:00,172.2,172.387,171.68,171.84,1155990.0
2023-01-31 13:15:00,172.41,172.415,172.01,172.19,968062.0
2023-01-31 13:10:00,172.54,172.8,172.07,172.41,1265871.0
2023-01-31 13:05:00,172.35,172.76,172.31,172.54,1316836.0
2023-01-31 13:00:00,172.14,172.5,171.63,172.37,1451168.0
2023-01-31 12:55:00,172.399,172.51,171.82,172.13,1262955.0
2023-01-31 12:50:00,172.43,172.74,172.34,172.396,1096601.0
2023-01-31 12:45:00,172.74,172.884,172.42,172.445,1230455.0
2023-01-31 12:40:00,172.79,173.03,172.58,172.72,1390217.0
2023-01-31 12:35:00,172.2,173.0,172.052,172.79,1869194.0
2023-01-31 12:30:00,172.18,172.22,171.722,172.21,1296518.0
2023-01-31 12:25:00,172.144,172.599,172.1,172.181,1507925.0
2023-01-31 12:20:00,172.236,172.4,171.781,172.132,1569924.0
2023-01-31 12:15:00,171.29,172.379,171.12,172.25,2118680.0
2023-01-31 12:10:00,170.98,171.5,170.75,171.29,1777353.0
2023-01-31 12:05:00,170.63,171.16,170.31,170.98,2164434.0
2023-01-31 12:00:00,171.06,171.09,169.91,170.63,2779110.0
2023-01-31 11:55:00,172.235,172.31,170.93,171.04,1760346.0
2023-01-31 11:50:00,172.06,172.49,171.66,172.245,1599888.0
2023-01-31 11:45:00,172.48,172.89,171.82,172.07,1798005.0
2023-01-31 11:40:00,172.528,172.9,172.15,172.45,1540475.0
2023-01-31 11:35:00,172.855,173.32,172.23,172.52,1878848.0
2023-01-31 11:30:00,172.94,173.03,172.578,172.86,1580688.0
2023-01-31 11:25:00,172.07,172.96,171.804,172.939,1674451.0
2023-01-31 11:20:00,172.49,172.67,171.9,172.055,1556730.0
2023-01-31 11:15:00,171.72,172.75,171.315,172.505,2657663.0
2023-01-31 11:10:00,172.535,172.63,171.61,171.776,2902753.0
2023-01-31 11:05:00,173.22,173.26,172.29,172.52,2870764.0
2023-01-31 11:00:00,173.27,173.75,173.01,173.255,3067171.0
2023-01-31 10:55:00,172.305,173.3,172.28,173.26,3281128.0
2023-01-31 10:50:00,172.1,172.58,171.7,172.32,3309042.0
2023-01-31 10:45:00,170.116,172.24,170.06,172.125,4291005.0
2023-01-31 10:40:00,169.26,170.23,169.18,170.12,2116390.0
2023-01-31 10:35:00,169.875,170.39,169.231,169.265,2866567.0
2023-01-31 10:30:00,169.18,169.89,168.63,169.89,2134128.0
2023-01-31 10:25:00,168.581,169.22,167.95,169.17,2153341.0
2023-01-31 10:20:00,169.365,169.63,168.23,168.606,2660543.0
2023-01-31 10:15:00,168.36,169.38,167.89,169.352,2689570.0
2023-01-31 10:10:00,167.7,168.576,167.52,168.35,2416515.0
2023-01-31 10:05:00,167.1,169.16,167.01,167.66,3457515.0
2023-01-31 10:00:00,167.7,168.2,166.45,167.07,3687375.0
2023-01-31 09:55:00,168.96,169.75,167.45,167.733,3686558.0
2023-01-31 09:50:00,169.85,171.0,168.63,168.966,4905555.0
2023-01-31 09:45:00,166.3,169.99,165.62,169.88,5209861.0
2023-01-31 09:40:00,167.26,167.66,165.77,166.288,4342327.0
2023-01-31 09:35:00,169.22,169.35,167.04,167.289,4371126.0
2023-01-31 09:30:00,164.57,169.38,162.78,169.22,7431921.0
2023-01-31 09:25:00,164.95,165.16,164.4,164.59,108746.0
2023-01-31 09:20:00,164.67,165.0,164.65,165.0,140539.0
2023-01-31 09:15:00,164.77,164.883,164.632,164.72,58216.0
2023-01-31 09:10:00,164.98,165.0,164.64,164.76,59720.0
2023-01-31 09:05:00,164.89,165.0,164.82,164.99,123506.0
2023-01-31 09:00:00,164.68,164.93,164.34,164.9,87598.0
2023-01-31 08:55:00,164.84,165.02,164.6,164.62,130957.0
2023-01-31 08:50:00,164.94,165.19,164.7,164.83,167408.0
2023-01-31 08:45:00,164.86,165.15,164.75,164.94,134065.0
2023-01-31 08:40:00,164.76,164.92,164.17,164.86,99311.0
2023-01-31 08:35:00,164.22,165.0,163.682,164.82,209078.0
2023-01-31 08:30:00,164.94,165.29,164.2,164.2,242448.0
2023-01-31 08:25:00,164.8,164.92,164.79,164.83,23054.0
2023-01-31 08:20:00,164.8,164.95,164.72,164.8,33369.0
2023-01-31 08:15:00,164.504,164.84,164.42,164.79,44107.0
2023-01-31 08:10:00,164.95,164.99,164.5,164.51,47506.0
2023-01-31 08:05:00,164.9,165.0,164.67,164.95,57467.0
2023-01-31 08:00:00,165.08,165.75,163.302,164.99,541250.0
2023-01-31 07:55:00,164.89,164.89,164.6,164.86,10490.0
2023-01-31 07:50:00,164.6,165.16,164.6,164.89,20687.0
2023-01-31 07:45:00,164.36,164.52,164.15,164.52,42089.0
2023-01-31 07:40:00,164.93,164.94,164.22,164.4,43909.0
2023-01-31 07:35:00,164.89,165.3,164.85,164.91,21885.0
2023-01-31 07:30:00,165.0,165.2,164.85,164.85,17330.0
2023-01-31 07:25:00,165.2,165.2,164.92,165.11,20793.0
2023-01-31 07:20:00,165.01,165.37,164.97,165.3,19467.0
2023-01-31 07:15:00,164.9,165.43,164.88,165.0,30023.0
2023-01-31 07:10:00,164.63,165.08,164.63,165.0,24177.0
2023-01-31 07:05:00,165.59,165.59,164.61,164.62,44529.0
2023-01-31 07:00:00,164.97,165.7,164.75,165.6,83047.0
2023-01-31 06:55:00,164.8,165.19,164.8,165.1,20485.0
2023-01-31 06:50:00,165.0,165.2,164.58,164.8,19476.0
2023-01-31 06:45:00,164.78,165.22,164.78,164.9,44654.0
2023-01-31 06:40:00,164.2,164.94,164.19,164.88,25980.0
2023-01-31 06:35:00,163.62,164.2,163.62,164.2,29176.0
2023-01-31 06:30:00,163.65,163.78,163.58,163.6,11896.0
2023-01-31 06:25:00,163.55,163.81,163.51,163.67,17512.0
2023-01-31 06:20:00,163.8,163.84,163.6,163.77,4592.0
2023-01-31 06:15:00,163.62,163.9,163.62,163.89,5518.0
2023-01-31 06:10:00,163.56,164.0,163.3,163.6,26055.0
2023-01-31 06:05:00,163.81,163.81,163.6,163.6,3636.0
2023-01-31 06:00:00,163.59,163.87,163.44,163.8,27328.0
2023-01-31 05:55:00,163.8,163.84,163.59,163.59,10373.0
2023-01-31 05:50:00,163.9,163.9,163.8,163.84,12307.0
2023-01-31 05:45:00,163.83,164.1,163.81,163.92,9949.0
2023-01-31 05:40:00,163.63,163.85,163.6,163.81,11275.0
2023-01-31 05:35:00,163.62,163.73,163.54,163.7,10554.0
2023-01-31 05:30:00,163.51,163.78,163.51,163.62,10915.0
2023-01-31 05:25:00,163.65,163.67,163.4,163.6,29497.0
2023-01-31 05:20:00,164.03,164.05,163.61,163.7,30452.0
2023-01-31 05:15:00,163.8,164.15,163.78,164.1,11282.0
2023-01-31 05:10:00,164.06,164.06,163.8,163.83,4252.0
2023-01-31 05:05:00,164.16,164.25,163.95,164.02,9650.0
2023-01-31 05:00:00,164.01,164.17,163.75,164.17,16682.0
2023-01-31 04:55:00,164.34,164.34,164.0,164.0,8207.0
2023-01-31 04:50:00,164.83,164.83,164.0,164.34,13199.0
2023-01-31 04:45:00,164.95,165.2,164.87,164.87,11679.0
2023-01-31 04:40:00,164.43,164.93,164.43,164.93,13207.0
2023-01-31 04:35:00,164.28,164.48,164.28,164.44,5533.0
2023-01-31 04:30:00,164.2,164.77,164.13,164.25,19761.0
2023-01-31 04:25:00,164.18,164.38,164.05,164.2,10527.0
2023-01-31 04:20:00,163.82,164.2,163.54,164.17,49198.0
2023-01-31 04:15:00,164.6,164.6,163.75,163.79,29953.0
2023-01-31 04:10:00,165.13,165.13,164.4,164.61,24586.0
2023-01-31 04:05:00,165.3,165.63,165.17,165.17,35154.0
2023-01-31 04:00:00,165.89,165.89,164.37,165.3,56256.0
2023-01-30 19:55:00,165.98,166.0,165.77,165.77,58171.0
2023-01-30 19:50:00,166.01,166.04,165.91,165.93,27677.0
2023-01-30 19:45:00,165.99,166.1,165.97,166.0,35797.0
2023-01-30 19:40:00,166.1,166.1,165.91,165.98,32849.0
2023-01-30 19:35:00,166.17,166.2,165.95,165.98,44854.0
2023-01-30 19:30:00,166.45,166.5,166.16,166.16,28074.0
2023-01-30 19:25:00,166.0,166.4,165.95,166.4,27362.0
2023-01-30 19:20:00,166.02,166.03,165.95,165.999,38381.0
2023-01-30 19:15:00,166.25,166.28,166.0,166.02,22939.0
2023-01-30 19:10:00,166.35,166.4,166.12,166.28,18340.0
2023-01-30 19:05:00,166.52,166.55,166.32,166.4,13982.0
2023-01-30 19:00:00,166.61,166.66,166.51,166.53,11120.0
2023-01-30 18:55:00,166.56,166.61,166.48,166.61,12049.0
